x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
57,12,0.010437,-0.029572,-0.023007,723.590646,173.990326
57,12,0.010437,-0.029572,-0.023951,677.042782,232.621857
57,12,0.010437,-0.029572,-0.020443,635.919399,218.256821
58,12,0.011307,-0.029572,-0.028122,778.299337,165.705841
58,12,0.011307,-0.029572,-0.028208,727.564645,163.373016
58,12,0.011307,-0.029572,-0.014973,640.437641,176.410614
58,12,0.011307,-0.029572,-0.014772,606.110531,194.772018
59,12,0.012177,-0.029572,-0.025197,685.844049,184.573334
59,12,0.012177,-0.029572,-0.022130,645.281809,211.489929
60,12,0.013046,-0.029572,-0.018334,690.703736,279.972961
60,12,0.013046,-0.029572,-0.019268,650.444621,209.753082
61,12,0.013916,-0.029572,-0.018542,695.861046,300.667175
61,12,0.013916,-0.029572,-0.020326,655.918554,174.635986
62,12,0.014786,-0.029572,-0.026866,701.309411,236.723679
62,12,0.014786,-0.029572,-0.016474,661.695885,260.387177
62,12,0.014786,-0.029572,-0.015379,628.530864,171.488800
63,12,0.015656,-0.029572,-0.022922,707.042103,163.047226
63,12,0.015656,-0.029572,-0.017127,667.768739,190.971527
64,12,0.016525,-0.029572,-0.020994,713.052265,175.916519
67,12,0.019135,-0.029572,-0.021346,732.677713,201.712219
68,12,0.020004,-0.029572,-0.012445,671.128296,197.398972
69,12,0.020874,-0.029572,-0.025741,747.019936,236.097153
69,12,0.020874,-0.029572,-0.014726,709.961506,159.015656
74,12,0.025223,-0.029572,-0.015805,751.780801,174.197998
46,13,0.000870,-0.028702,-0.020998,640.269516,187.068207
47,13,0.001740,-0.028702,-0.022520,640.809706,199.802734
47,13,0.001740,-0.028702,-0.019009,597.196479,151.951309
48,13,0.002609,-0.028702,-0.021844,641.709013,208.930954
48,13,0.002609,-0.028702,-0.015861,598.161359,196.552567
49,13,0.003479,-0.028702,-0.024912,691.810438,150.129715
49,13,0.003479,-0.028702,-0.018494,642.965930,183.132843
50,13,0.004349,-0.028702,-0.029902,693.309283,188.926834
50,13,0.004349,-0.028702,-0.026945,644.578364,276.153381
50,13,0.004349,-0.028702,-0.014597,601.238573,175.409363
51,13,0.005219,-0.028702,-0.025204,695.136817,164.112045
51,13,0.005219,-0.028702,-0.026236,646.543656,274.371826
51,13,0.005219,-0.028702,-0.016055,603.345053,186.837387
52,13,0.006088,-0.028702,-0.030984,697.290454,240.406998
52,13,0.006088,-0.028702,-0.026783,648.858599,260.160553
52,13,0.006088,-0.028702,-0.019757,605.825087,242.736526
53,13,0.006958,-0.028702,-0.026748,699.767183,225.842850
53,13,0.006958,-0.028702,-0.026079,651.519467,249.184418
53,13,0.006958,-0.028702,-0.017047,608.674108,167.313522
54,13,0.007828,-0.028702,-0.025521,702.563588,234.362610
54,13,0.007828,-0.028702,-0.025345,654.522040,286.881470
54,13,0.007828,-0.028702,-0.020985,611.886962,203.420212
55,13,0.008698,-0.028702,-0.025679,705.675869,150.935028
55,13,0.008698,-0.028702,-0.026207,657.861640,229.366196
55,13,0.008698,-0.028702,-0.018960,615.457952,151.834106
56,13,0.009567,-0.028702,-0.019854,661.533162,178.722824
56,13,0.009567,-0.028702,-0.016600,619.380883,180.517410
57,13,0.010437,-0.028702,-0.024964,712.831087,155.561066
57,13,0.010437,-0.028702,-0.022547,665.531114,257.237823
57,13,0.010437,-0.028702,-0.022280,623.649114,235.655045
58,13,0.011307,-0.028702,-0.030026,768.306314,154.587646
58,13,0.011307,-0.028702,-0.026127,716.864735,180.688263
58,13,0.011307,-0.028702,-0.019409,669.849650,264.727814
58,13,0.011307,-0.028702,-0.017473,628.255607,222.330994
58,13,0.011307,-0.028702,-0.012472,593.223997,176.947906
59,13,0.012177,-0.028702,-0.025493,674.482612,207.502274
59,13,0.012177,-0.028702,-0.017213,633.192979,281.469543
59,13,0.012177,-0.028702,-0.012685,598.450459,200.498810
60,13,0.013046,-0.028702,-0.019395,679.423569,248.767578
60,13,0.013046,-0.028702,-0.020606,638.453554,189.074646
60,13,0.013046,-0.028702,-0.016031,604.013695,165.066635
61,13,0.013916,-0.028702,-0.024484,730.728284,173.336884
61,13,0.013916,-0.028702,-0.027109,684.665853,315.543304
61,13,0.013916,-0.028702,-0.017581,644.029412,267.626282
62,13,0.014786,-0.028702,-0.026795,690.202597,218.388992
62,13,0.014786,-0.028702,-0.016987,649.912439,280.021393
63,13,0.015656,-0.028702,-0.019824,696.026774,212.743225
63,13,0.015656,-0.028702,-0.020835,656.094372,293.220917
64,13,0.016525,-0.028702,-0.019764,662.566843,167.519485
64,13,0.016525,-0.028702,-0.013476,629.447714,229.728104
65,13,0.017395,-0.028702,-0.021485,708.508727,157.340088
65,13,0.017395,-0.028702,-0.019883,669.321425,185.143219
66,13,0.018265,-0.028702,-0.018690,676.349665,160.327820
67,13,0.019135,-0.028702,-0.026565,722.053575,155.686783
67,13,0.019135,-0.028702,-0.018171,683.643123,196.523468
67,13,0.019135,-0.028702,-0.015658,651.596135,168.837753
69,13,0.020874,-0.028702,-0.021334,736.602688,164.317993
69,13,0.020874,-0.028702,-0.017698,698.992185,234.243774
69,13,0.020874,-0.028702,-0.009995,667.682318,184.934143
70,13,0.021744,-0.028702,-0.012960,676.093767,159.688538
31,14,-0.012177,-0.027832,-0.030964,762.580435,184.641953
45,14,0.000000,-0.027832,-0.018737,628.267828,230.731949
45,14,0.000000,-0.027832,-0.022497,583.718269,177.336044
46,14,0.000870,-0.027832,-0.031428,678.341827,167.192535
46,14,0.000870,-0.027832,-0.025910,628.451382,261.994873
46,14,0.000870,-0.027832,-0.016403,583.915827,169.610184
47,14,0.001740,-0.027832,-0.027612,678.851723,181.138184
47,14,0.001740,-0.027832,-0.022609,629.001722,259.043854
48,14,0.002609,-0.027832,-0.025378,679.700698,206.609528
48,14,0.002609,-0.027832,-0.021815,629.917887,227.898773
48,14,0.002609,-0.027832,-0.016141,585.493893,178.820709
49,14,0.003479,-0.027832,-0.029454,680.887486,218.857346
49,14,0.003479,-0.027832,-0.023037,631.198284,409.063568
49,14,0.003479,-0.027832,-0.014757,586.871219,259.300446
50,14,0.004349,-0.027832,-0.025072,682.410323,236.804611
50,14,0.004349,-0.027832,-0.022315,632.840702,400.998810
51,14,0.005219,-0.027832,-0.030065,684.266966,239.362274
51,14,0.005219,-0.027832,-0.024563,634.842331,467.084229
51,14,0.005219,-0.027832,-0.019078,590.788743,229.297409
52,14,0.006088,-0.027832,-0.024865,686.454706,220.134598
52,14,0.006088,-0.027832,-0.021598,637.199787,387.346710
52,14,0.006088,-0.027832,-0.021794,593.321264,320.068878
52,14,0.006088,-0.027832,-0.013037,556.093270,190.279236
53,14,0.006958,-0.027832,-0.022875,688.970389,260.714020
53,14,0.006958,-0.027832,-0.020499,639.909136,345.045410
53,14,0.006958,-0.027832,-0.015685,596.230036,288.871857
54,14,0.007828,-0.027832,-0.028138,691.810438,261.840515
54,14,0.007828,-0.027832,-0.021211,642.965930,438.061096
54,14,0.007828,-0.027832,-0.017703,599.509584,283.738129
54,14,0.007828,-0.027832,-0.018176,562.691163,175.241486
55,14,0.008698,-0.027832,-0.023002,694.970876,223.644485
55,14,0.008698,-0.027832,-0.026189,646.365240,484.636292
55,14,0.008698,-0.027832,-0.014962,603.153859,155.242798
56,14,0.009567,-0.027832,-0.029360,698.447354,280.194397
56,14,0.009567,-0.027832,-0.019922,650.101693,445.687225
56,14,0.009567,-0.027832,-0.016882,607.156294,435.196838
56,14,0.009567,-0.027832,-0.011197,570.831296,237.899384
57,14,0.010437,-0.027832,-0.028029,754.674625,170.336716
57,14,0.010437,-0.027832,-0.029779,702.235178,273.277679
57,14,0.010437,-0.027832,-0.025766,654.169511,338.546692
57,14,0.010437,-0.027832,-0.021208,611.509856,271.338379
58,14,0.011307,-0.027832,-0.030182,706.329339,256.459656
58,14,0.011307,-0.027832,-0.026141,658.562555,341.655182
58,14,0.011307,-0.027832,-0.016373,616.207103,247.727341
58,14,0.011307,-0.027832,-0.010309,580.448789,166.456696
59,14,0.012177,-0.027832,-0.026467,710.724543,230.781799
59,14,0.012177,-0.027832,-0.019608,663.274363,327.832703
59,14,0.012177,-0.027832,-0.022183,621.240239,272.249878
59,14,0.012177,-0.027832,-0.009989,585.789244,283.874908
60,14,0.013046,-0.027832,-0.025668,668.298192,280.356903
60,14,0.013046,-0.027832,-0.016064,626.601171,302.843262
60,14,0.013046,-0.027832,-0.018518,591.471580,275.463776
61,14,0.013916,-0.027832,-0.030691,720.395663,273.137573
61,14,0.013916,-0.027832,-0.021133,673.627060,350.869110
61,14,0.013916,-0.027832,-0.018960,632.281559,385.379913
62,14,0.014786,-0.027832,-0.023908,679.253790,178.875168
62,14,0.014786,-0.027832,-0.022864,638.272877,240.422409
62,14,0.014786,-0.027832,-0.013340,603.822713,163.733734
63,14,0.015656,-0.027832,-0.020691,685.171042,347.466522
63,14,0.015656,-0.027832,-0.020566,644.566452,344.584229
63,14,0.015656,-0.027832,-0.018468,610.471551,154.610657
64,14,0.016525,-0.027832,-0.020106,691.371357,234.658752
64,14,0.016525,-0.027832,-0.020318,651.153521,283.339386
64,14,0.016525,-0.027832,-0.015551,617.422474,197.407196
65,14,0.017395,-0.027832,-0.052836,1085.647365,205.788742
65,14,0.017395,-0.027832,-0.021247,697.847191,253.995255
65,14,0.017395,-0.027832,-0.017075,658.025270,217.125366
65,14,0.017395,-0.027832,-0.011909,624.665398,215.552170
66,14,0.018265,-0.027832,-0.022673,749.429714,175.134949
66,14,0.018265,-0.027832,-0.025887,704.590946,176.998810
66,14,0.018265,-0.027832,-0.018713,665.172876,256.022675
67,14,0.019135,-0.027832,-0.014739,672.587545,254.620438
67,14,0.019135,-0.027832,-0.016393,639.987195,188.068893
68,14,0.020004,-0.027832,-0.025458,718.851761,183.127274
68,14,0.020004,-0.027832,-0.015091,680.260544,222.682175
68,14,0.020004,-0.027832,-0.010416,648.046303,160.283539
69,14,0.020874,-0.027832,-0.018611,726.353638,177.376404
69,14,0.020874,-0.027832,-0.022467,688.183232,176.194458
69,14,0.020874,-0.027832,-0.017277,656.357954,181.366760
70,14,0.021744,-0.027832,-0.025256,734.093121,173.699951
70,14,0.021744,-0.027832,-0.020608,696.347087,168.120651
29,15,-0.013916,-0.026962,0.010409,566.549791,154.488068
32,15,-0.011307,-0.026962,-0.046628,989.139417,176.786850
33,15,-0.010437,-0.026962,-0.056894,1184.687054,157.791992
34,15,-0.009567,-0.026962,-0.029578,687.965220,173.642090
42,15,-0.002609,-0.026962,-0.025433,618.275005,159.496338
43,15,-0.001740,-0.026962,-0.022781,617.341562,155.705856
45,15,0.000000,-0.026962,-0.024854,616.593790,239.076431
46,15,0.000870,-0.026962,-0.026207,616.780818,207.230591
46,15,0.000870,-0.026962,-0.016459,571.336268,164.905624
47,15,0.001740,-0.026962,-0.020745,617.341562,363.269775
48,15,0.002609,-0.026962,-0.025386,668.924866,216.846909
48,15,0.002609,-0.026962,-0.018324,618.275005,304.703674
48,15,0.002609,-0.026962,-0.014039,572.948982,265.271912
49,15,0.003479,-0.026962,-0.028789,670.130738,355.334106
49,15,0.003479,-0.026962,-0.021564,619.579463,353.476685
49,15,0.003479,-0.026962,-0.019251,574.356392,255.325806
50,15,0.004349,-0.026962,-0.031216,726.326945,218.903015
50,15,0.004349,-0.026962,-0.023290,671.677963,253.449493
50,15,0.004349,-0.026962,-0.023020,621.252599,371.834229
50,15,0.004349,-0.026962,-0.020694,576.160868,244.971466
