x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
61,11,0.013916,-0.030441,-0.008723,622.696386,167.912048
61,11,0.013916,-0.030441,-0.006197,600.486180,175.888565
62,11,0.014786,-0.030441,-0.025493,696.671253,191.617493
62,11,0.014786,-0.030441,-0.017778,659.101443,206.171112
62,11,0.014786,-0.030441,-0.015947,628.779042,194.267609
63,11,0.015656,-0.030441,-0.015751,635.166694,189.806122
66,11,0.018265,-0.030441,-0.016886,721.396927,164.353592
69,11,0.020874,-0.030441,-0.023138,742.667309,159.447388
11,12,-0.029572,-0.029572,0.013654,749.967644,163.566864
42,12,-0.002609,-0.029572,-0.021734,636.274353,166.093201
42,12,-0.002609,-0.029572,-0.012345,594.902454,151.902008
42,12,-0.002609,-0.029572,-0.001474,521.926741,154.946686
43,12,-0.001740,-0.029572,-0.015665,593.932279,159.001816
43,12,-0.001740,-0.029572,-0.011582,560.092780,173.815918
45,12,0.000000,-0.029572,-0.015509,593.154996,178.801086
46,12,0.000870,-0.029572,-0.011703,559.474660,159.097931
46,12,0.000870,-0.029572,-0.012004,534.644517,171.820404
47,12,0.001740,-0.029572,-0.024657,683.017051,155.827469
47,12,0.001740,-0.029572,-0.021195,635.367354,169.908615
47,12,0.001740,-0.029572,-0.012825,593.932279,202.557236
47,12,0.001740,-0.029572,-0.015374,560.092780,202.240799
48,12,0.002609,-0.029572,-0.012430,561.121467,179.528015
49,12,0.003479,-0.029572,-0.025865,685.040436,177.839035
49,12,0.003479,-0.029572,-0.022067,637.541984,155.576599
49,12,0.003479,-0.029572,-0.005455,537.870704,164.502518
50,12,0.004349,-0.029572,-0.009434,564.400664,198.170349
51,12,0.005219,-0.029572,-0.010717,542.142422,211.465012
52,12,0.006088,-0.029572,-0.022293,643.484325,155.270020
52,12,0.006088,-0.029572,-0.018488,602.607628,225.161865
52,12,0.006088,-0.029572,-0.013689,569.284045,160.919952
53,12,0.006958,-0.029572,-0.020564,646.167324,158.529892
54,12,0.007828,-0.029572,-0.028832,695.898205,163.728806
54,12,0.007828,-0.029572,-0.020824,608.701546,193.496399
54,12,0.007828,-0.029572,-0.007821,551.632856,178.598343
55,12,0.008698,-0.029572,-0.025853,699.040162,232.892456
55,12,0.008698,-0.029572,-0.021670,652.561516,220.840652
55,12,0.008698,-0.029572,-0.012943,612.291114,195.620697
55,12,0.008698,-0.029572,-0.012008,579.524615,166.720413
55,12,0.008698,-0.029572,-0.009651,555.591256,167.447372
56,12,0.009567,-0.029572,-0.020327,656.262691,164.928299
56,12,0.009567,-0.029572,-0.015247,583.689101,185.322784
56,12,0.009567,-0.029572,-0.004926,559.933774,177.376633
57,12,0.010437,-0.029572,-0.018826,620.524081,181.495926
58,12,0.011307,-0.029572,-0.015522,625.153601,167.911789
59,12,0.012177,-0.029572,-0.004984,575.175192,150.386505
59,12,0.012177,-0.029572,-0.004477,561.732907,151.602844
61,12,0.013916,-0.029572,-0.007586,587.083501,181.432343
62,12,0.014786,-0.029572,-0.020979,685.152698,160.543304
62,12,0.014786,-0.029572,-0.005162,593.531239,150.331635
63,12,0.015656,-0.029572,-0.025281,691.019439,157.806305
64,12,0.016525,-0.029572,-0.013545,629.329095,150.407120
65,12,0.017395,-0.029572,-0.000729,602.164164,179.517075
66,12,0.018265,-0.029572,-0.019384,673.469217,168.372971
67,12,0.019135,-0.029572,-0.019352,680.793535,167.039200
67,12,0.019135,-0.029572,-0.013704,651.481549,162.488815
